State,Date,Confirmed,Deaths,Case_Fatality_Ratio
Missouri,2022-01-02 04:32:57,1013458.0,16227.0,1.601151700415804
Montana,2022-01-02 04:32:57,197724.0,2906.0,1.4697254759159233
Nebraska,2022-01-02 04:32:57,338257.0,3338.0,0.9868236281880346
Nevada,2022-01-02 04:32:57,484641.0,8419.0,1.7371621468262075
New Hampshire,2022-01-02 04:32:57,198667.0,1961.0,0.987078880740133
New Jersey,2022-01-02 04:32:57,1596644.0,29053.0,1.8196291721886655
New Mexico,2022-01-02 04:32:57,350043.0,5855.0,1.6726516456549625
New York,2022-01-02 04:32:57,3517696.0,59585.0,1.693864393057274
North Carolina,2022-01-02 04:32:57,1686667.0,19426.0,1.1517389028183986
North Dakota,2022-01-02 04:32:57,174572.0,2057.0,1.1779460103306496
Ohio,2022-01-02 04:32:57,2016095.0,31965.0,1.5835563304308578
Oklahoma,2022-01-02 04:32:57,708938.0,12419.0,1.7517751904962071
Oregon,2022-01-02 04:32:57,421263.0,5655.0,1.342391807493181
Pennsylvania,2022-01-02 04:32:57,2059613.0,36714.0,1.782567890181311
Rhode Island,2022-01-02 04:32:57,231096.0,3066.0,1.3267213625506282
South Carolina,2022-01-02 04:32:57,975320.0,14636.0,1.5006356887995735
South Dakota,2022-01-02 04:32:57,179204.0,2486.0,1.3872458204057945
Tennessee,2022-01-02 04:32:57,1445185.0,20787.0,1.4397567980251602
Texas,2022-01-02 04:32:57,4675575.0,75744.0,1.6199932628607177
Utah,2022-01-02 04:32:57,636992.0,3787.0,0.5945129609163067
Vermont,2022-01-02 04:32:57,64447.0,471.0,0.7308330876534206
Virginia,2022-01-02 04:32:57,1118518.0,15587.0,1.3935403811114349
Washington,2022-01-02 04:32:57,849075.0,9853.0,1.1604393015929098
West Virginia,2022-01-02 04:32:57,328162.0,5336.0,1.6260261700014018
Wisconsin,2022-01-02 04:32:57,1120663.0,11173.0,0.996999097855466
Wyoming,2022-01-02 04:32:57,115638.0,1526.0,1.319635413964268
Alabama,2021-02-02 05:30:40,460860.0,7688.0,1.6681855661155232
Alaska,2021-02-02 05:30:40,54457.0,262.0,0.4811135391226105
Arizona,2021-02-02 05:30:40,762145.0,13124.0,1.7219820375387886
Arkansas,2021-02-02 05:30:40,296494.0,4895.0,1.6509608963419158
California,2021-02-02 08:30:40,3398033.0,40406.0,1.188994058707887
Colorado,2021-02-02 05:30:40,397101.0,5641.0,1.4205454028068425
Connecticut,2021-02-02 05:30:40,253954.0,7119.0,2.803263583168605
Delaware,2021-02-02 05:30:40,78495.0,1308.0,1.6663481750429965
Florida,2021-02-02 05:30:40,1727107.0,26685.0,1.545069297964747
Georgia,2021-02-02 05:30:40,912479.0,14242.0,1.560803043138527
Hawaii,2021-02-02 05:30:40,26692.0,410.0,1.536040761276787
Idaho,2021-02-02 05:30:40,163165.0,1735.0,1.0633407899978549
Illinois,2021-02-02 05:30:40,1128613.0,21273.0,1.8848799367010656
Indiana,2021-02-02 05:30:40,628391.0,11331.0,1.8031766845801418
Iowa,2021-02-02 05:30:40,320187.0,4906.0,1.532229603325557
Kansas,2021-02-02 05:30:40,279008.0,3834.0,1.374154146117674
Kentucky,2021-02-02 05:30:40,364498.0,3780.0,1.0370427272577627
Louisiana,2021-02-02 05:30:40,401591.0,8912.0,2.2191732384440885
Maine,2021-02-02 05:30:40,39543.0,595.0,1.5046910957691626
Maryland,2021-02-02 05:30:40,355636.0,7154.0,2.0116073738316707
Massachusetts,2021-02-02 05:30:40,526423.0,12300.0,2.774764780414229
Michigan,2021-02-02 05:30:40,612710.0,15536.0,2.5356204403388225
Minnesota,2021-02-02 05:30:40,462528.0,6270.0,1.3555936073059358
Mississippi,2021-02-02 05:30:40,275706.0,6056.0,2.196542694029147
Missouri,2021-02-02 05:30:40,534394.0,7074.0,1.323742407287507
Montana,2021-02-02 05:30:40,94070.0,1234.0,1.3117890932284468
Nebraska,2021-02-02 05:30:40,190950.0,1920.0,1.0054988216810683
Nevada,2021-02-02 05:30:40,279146.0,4278.0,1.5325313635158662
New Hampshire,2021-02-02 05:30:40,66289.0,1059.0,1.597550121437946
New Jersey,2021-02-02 05:30:40,700346.0,21513.0,3.0717673835504167
New Mexico,2021-02-02 05:30:40,174550.0,3295.0,1.8877112575193356
New York,2021-02-02 05:30:40,1428839.0,43622.0,3.0529681790600622
North Carolina,2021-02-02 05:30:40,761302.0,9342.0,1.2271082960507131
North Dakota,2021-02-02 05:30:40,97223.0,1447.0,1.4813677313677314
Ohio,2021-02-02 05:30:40,899079.0,17398.0,1.935091354597316
Oklahoma,2021-02-02 05:30:40,391611.0,3564.0,0.9100867953147384
Oregon,2021-02-02 05:30:40,143373.0,1958.0,1.3656685707908742
Pennsylvania,2021-02-02 05:30:40,854991.0,21695.0,2.537453610622802
Rhode Island,2021-02-02 05:30:40,115956.0,2352.0,2.02835558315223
South Carolina,2021-02-02 05:30:40,445916.0,7283.0,1.6332672521282037
South Dakota,2021-02-02 05:30:40,108315.0,1778.0,1.6415085629875823
Tennessee,2021-02-02 05:30:40,723438.0,9753.0,1.3480974865369943
Texas,2021-02-02 05:30:40,2439753.0,37245.0,1.526588962079358
Utah,2021-02-02 05:30:40,347208.0,1668.0,0.4804036773346237
Vermont,2021-02-02 05:30:40,12083.0,175.0,1.4483158156087064
Virginia,2021-02-02 05:30:40,507640.0,6474.0,1.2753132140887242
Washington,2021-02-02 05:30:40,313335.0,4318.0,1.3780777761820415
West Virginia,2021-02-02 05:30:40,121425.0,2028.0,1.6701667696108708
Wisconsin,2021-02-02 05:30:40,592921.0,6436.0,1.0854734441856504
Wyoming,2021-02-02 05:30:40,52057.0,596.0,1.144898860864053
Alabama,2022-02-02 04:32:38,1223896.0,17146.0,1.400936027244145
