Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
ID,12-29-2021,2017709,0,2015885,661335,46.2
SC,12-29-2021,6694268,6603629,6274640,2144917,53.1
WV,12-29-2021,2484503,2452684,2341947,827430,55.0
IH2,12-29-2021,2013144,1967168,1810886,369478,39.2
NV,12-29-2021,4300206,4242093,3995091,1097049,56.4
MT,12-29-2021,1440632,1412157,1342062,473724,54.0
RI,12-29-2021,1940085,1892509,1782026,506294,76.3
MS,12-29-2021,3387804,3361906,3178693,1023954,48.1
VA2,12-29-2021,6933927,6933736,6930681,3689730,0.0
TX,12-29-2021,40483034,39594437,36551297,8514392,56.9
DC,12-29-2021,1281871,1259163,1213189,236128,67.5
MI,12-29-2021,13939281,13642766,12935482,4127309,56.7
SD,12-28-2021,1254825,1226246,1154931,375266,56.9
DE,12-28-2021,1574802,1545821,1456590,488131,64.0
ND,12-28-2021,1009859,987353,938228,285305,52.5
MH,12-28-2021,48029,47857,44674,2645,29.4
OH,12-28-2021,15828783,15506053,14716802,4771403,55.1
AR,12-28-2021,3781832,3716734,3490331,1102682,51.1
CA,12-28-2021,65333736,63770207,59352049,14337425,66.0
DD2,12-28-2021,6870194,6823368,6483381,539953,0.0
RI,12-28-2021,1934904,1887843,1777653,505584,76.2
MT,12-28-2021,1438127,1410258,1340292,473354,53.9
VT,12-28-2021,1245743,1202371,1134677,364462,77.3
IN,12-28-2021,8460923,8321603,7871566,2499961,51.9
KY,12-28-2021,5860612,5756745,5456491,1682252,54.1
LA,12-28-2021,5603620,5555579,5273773,1639355,50.2
UT,12-28-2021,4491386,4352900,3978319,900536,58.6
TN,12-28-2021,8878367,8759709,8353678,2656083,51.3
BP2,12-28-2021,276170,276168,276168,8792,0.0
AZ,12-28-2021,10435821,10234669,9582165,3074479,56.9
MO,12-28-2021,8048058,7896836,7476979,2377178,52.9
VA2,12-28-2021,6922671,6922481,6919432,3685225,0.0
WI,12-28-2021,9062439,8856994,8375876,2704243,61.8
ID,12-28-2021,2014339,0,2012518,660706,46.2
NY,12-28-2021,33982804,33263467,31334306,7902973,71.6
PA,12-28-2021,19986289,19551607,18514245,5888863,63.7
ME,12-28-2021,2494101,2427773,2302229,772093,75.7
VA,12-28-2021,14395886,13971675,13055186,3394222,67.9
WV,12-28-2021,2480104,2448670,2338156,826505,55.0
NC,12-28-2021,14841719,14526411,13698528,4080083,56.6
MP,12-28-2021,95334,89003,79000,7867,76.5
MI,12-28-2021,13909514,13616806,12911234,4122438,56.7
KS,12-28-2021,4050786,3962489,3712085,1144926,56.9
VI,12-28-2021,128944,127820,121975,36801,50.4
IA,12-28-2021,4601957,4502684,4257803,1410136,58.9
SC,12-28-2021,6682734,6593295,6264804,2143061,53.0
PR,12-28-2021,5883954,5729804,5327460,1509917,76.8
TX,12-28-2021,40354885,39484403,36448991,8497754,56.8
FL,12-28-2021,33483722,33059171,31395868,11156061,63.2
CO,12-28-2021,9458452,9196422,8631604,2116687,66.1
WA,12-28-2021,12524498,12207665,11462726,3028969,67.8
AL,12-28-2021,5604954,5554023,5289598,1738935,47.6
NH,12-28-2021,2379774,2333680,2197300,665865,67.1
NV,12-28-2021,4290582,4233606,3987097,1095716,56.3
OR,12-28-2021,6818392,6648474,6267271,1831912,66.4
MA,12-28-2021,12901224,12506998,11746430,3034433,74.4
NE,12-28-2021,2842860,2773455,2601794,789093,59.7
HI,12-28-2021,2224540,2171256,2039861,608145,63.4
IL,12-28-2021,19739154,19194591,17973186,4840678,64.2
DC,12-28-2021,1280253,1257780,1211876,235906,67.4
MS,12-28-2021,3387657,3361770,3178560,1023904,48.1
WY,12-28-2021,681822,672080,639828,216325,47.4
US,12-28-2021,505013980,494250034,464314051,131242120,61.9
AS,12-28-2021,75819,71070,59172,6331,69.0
RP,12-28-2021,36627,35577,32934,4204,76.6
AK,12-28-2021,1021090,994915,930409,206060,56.2
NJ,12-28-2021,14839868,14505956,13557191,3494741,70.3
OK,12-28-2021,5278277,5202104,4908449,1478195,53.4
GU,12-28-2021,291684,286731,258928,41904,75.2
NM,12-28-2021,3419287,3341861,3127529,923640,66.1
MN,12-28-2021,9086951,8802244,8260250,2415899,65.3
GA,12-28-2021,13232429,13033704,12273835,3275221,50.9
MD,12-28-2021,10362557,10080315,9387969,2399603,70.3
IH2,12-28-2021,2009191,1964074,1808048,369064,39.1
FM,12-28-2021,83463,83382,81101,6427,42.1
CT,12-28-2021,6597876,6439753,6018122,1697427,74.5
DC,12-27-2021,1279975,1257503,1211605,235862,67.4
WV,12-27-2021,2472390,2441554,2331424,824909,54.9
NC,12-27-2021,14822953,14509137,13682286,4078091,56.6
DE,12-27-2021,1570399,1541764,1452727,487342,64.0
HI,12-27-2021,2221752,2168809,2037551,607804,63.4
NM,12-27-2021,3417822,3340590,3126338,923455,66.1
GU,12-27-2021,291683,286731,258928,41904,75.2
VA,12-27-2021,14394838,13970793,13054347,3394129,67.9
MP,12-27-2021,94171,88139,78220,7803,75.7
IA,12-27-2021,4556637,4462013,4219629,1403465,58.7
SD,12-27-2021,1248921,1220928,1149954,374454,56.8
TX,12-27-2021,40274677,39416076,36385919,8487652,56.8
CT,12-27-2021,6593440,6435872,6014537,1696935,74.5
TN,12-27-2021,8839300,8723383,8318967,2649183,51.2
AS,12-27-2021,75616,70965,59098,6320,68.7
MS,12-27-2021,3387657,3361770,3178560,1023904,48.1
RI,12-27-2021,1933747,1886815,1776672,505491,76.1
FL,12-27-2021,33285265,32874874,31219055,11115878,63.1
MO,12-27-2021,8045581,7894753,7474989,2376847,52.9
OH,12-27-2021,15681362,15369107,14586580,4744428,55.0
CO,12-27-2021,9437496,9178213,8614683,2114504,66.0
IN,12-27-2021,8457590,8318570,7868715,2499606,51.9
MH,12-27-2021,48029,47857,44674,2645,29.4
VA2,12-27-2021,6922662,6922472,6919423,3685218,0.0
DD2,12-27-2021,6868245,6821420,6481651,539685,0.0
NY,12-27-2021,33899359,33189673,31264647,7893165,71.5
ID,12-27-2021,2013749,0,2011929,660600,46.2
PA,12-27-2021,19881059,19454924,18424030,5872371,63.6
MT,12-27-2021,1433855,1406247,1336478,472505,53.9
NH,12-27-2021,2364568,2320050,2184461,663451,67.0
VI,12-27-2021,128834,127729,121886,36765,50.4
FM,12-27-2021,83463,83382,81101,6427,42.1
KY,12-27-2021,5858427,5754865,5454757,1682013,54.1
MN,12-27-2021,9042133,8761751,8223021,2410371,65.2
NJ,12-27-2021,14800203,14470883,13524567,3489601,70.3
AR,12-27-2021,3776239,3711546,3485390,1101665,51.1
ND,12-27-2021,1006560,984501,935551,284924,52.4
MI,12-27-2021,13840590,13553590,12851780,4111015,56.6
GA,12-27-2021,13076296,12892377,12140193,3250578,50.7
SC,12-27-2021,6680758,6591513,6263125,2142825,53.0
KS,12-27-2021,4006278,3920558,3674176,1139219,56.7
MD,12-27-2021,10338283,10059258,9368398,2396921,70.2
WY,12-27-2021,679449,669924,637787,215895,47.3
AL,12-27-2021,5592013,5542398,5278480,1736722,47.5
AZ,12-27-2021,10431656,10231126,9578873,3073831,56.9
MA,12-27-2021,12893976,12500420,11740289,3033538,74.4
NV,12-27-2021,4279141,4223066,3977103,1094233,56.3
CA,12-27-2021,65289150,63730482,59314606,14333282,65.9
NE,12-27-2021,2816282,2749702,2579840,785338,59.5
PR,12-27-2021,5838024,5690364,5289368,1499726,76.7
IH2,12-27-2021,2008801,1963761,1807769,369033,39.1
BP2,12-27-2021,276158,276156,276156,8792,0.0
US,12-27-2021,503480667,492861947,463005855,131007092,61.8
VT,12-27-2021,1245420,1202068,1134411,364440,77.3
OK,12-27-2021,5274449,5198732,4905268,1477759,53.3
LA,12-27-2021,5601876,5554049,5272326,1639118,50.1
WI,12-27-2021,9013117,8811780,8333497,2696508,61.7
RP,12-27-2021,36549,35499,32856,4201,76.5
UT,12-27-2021,4458557,4325072,3952131,897628,58.4
AK,12-27-2021,1015258,989774,925635,205376,56.1
IL,12-27-2021,19728080,19184839,17964003,4839332,64.2
OR,12-27-2021,6815111,6645405,6264341,1831475,66.4
ME,12-27-2021,2479883,2414490,2289636,770216,75.6
WA,12-27-2021,12457745,12146493,11404635,3020567,67.7
PR,12-26-2021,5838007,5690359,5289363,1499726,76.7
IA,12-26-2021,4556637,4462013,4219629,1403465,58.7
AZ,12-26-2021,10410754,10211834,9560574,3069608,56.8
PA,12-26-2021,19881050,19454915,18424021,5872369,63.6
MA,12-26-2021,12889181,12495840,11736135,3032684,74.4
NM,12-26-2021,3416710,3339527,3125338,923287,66.0
NE,12-26-2021,2816282,2749702,2579840,785338,59.5
NJ,12-26-2021,14741911,14418557,13475993,3482026,70.2
WA,12-26-2021,12457729,12146485,11404627,3020565,67.7
AR,12-26-2021,3776234,3711541,3485386,1101665,51.1
MN,12-26-2021,9042133,8761751,8223021,2410371,65.2
VA,12-26-2021,14374947,13952860,13037569,3391855,67.8
CO,12-26-2021,9433316,9174634,8611352,2114108,66.0
IN,12-26-2021,8457375,8318355,7868500,2499532,51.9
NH,12-26-2021,2363680,2319211,2183730,663379,67.0
MT,12-26-2021,1433850,1406242,1336473,472503,53.9
VA2,12-26-2021,6922660,6922470,6919421,3685217,0.0
OH,12-26-2021,15681362,15369107,14586580,4744428,55.0
WY,12-26-2021,679445,669920,637785,215895,47.3
KY,12-26-2021,5856852,5753348,5453302,1681781,54.1
TX,12-26-2021,40021367,39192412,36177025,8452518,56.6
AS,12-26-2021,75616,70965,59098,6320,68.7
DD2,12-26-2021,6853742,6807599,6468890,537502,0.0
LA,12-26-2021,5599578,5551949,5270331,1638540,50.1
OK,12-26-2021,5241447,5168647,4876481,1471323,53.2
RP,12-26-2021,36409,35498,32856,4201,75.8
FM,12-26-2021,83463,83382,81101,6427,42.1
MO,12-26-2021,8045574,7894746,7474982,2376845,52.9
GU,12-26-2021,291354,286431,258658,41869,75.1
US,12-26-2021,502788687,492237328,462419618,130910157,61.8
MP,12-26-2021,94171,88139,78220,7803,75.7
WV,12-26-2021,2472389,2441553,2331423,824908,54.9
GA,12-26-2021,13076219,12892326,12140155,3250575,50.7
TN,12-26-2021,8839291,8723382,8318966,2649183,51.2
RI,12-26-2021,1932055,1885169,1775132,505338,76.1
IL,12-26-2021,19565044,19035544,17823156,4817132,64.0
IH2,12-26-2021,2008739,1963699,1807710,369027,39.1
OR,12-26-2021,6781541,6614131,6234609,1825986,66.3
WI,12-26-2021,9013117,8811780,8333497,2696508,61.7
FL,12-26-2021,33285190,32874816,31218999,11115872,63.1
MH,12-26-2021,48029,47857,44674,2645,29.4
CA,12-26-2021,65273631,63716119,59301214,14331586,65.9
AL,12-26-2021,5590833,5541285,5277430,1736527,47.5
ID,12-26-2021,2013749,0,2011929,660600,46.2
DE,12-26-2021,1570387,1541754,1452717,487336,64.0
BP2,12-26-2021,276158,276156,276156,8792,0.0
MI,12-26-2021,13840590,13553590,12851780,4111015,56.6
MD,12-26-2021,10332687,10054191,9363672,2396291,70.2
DC,12-26-2021,1278321,1255877,1210075,235759,67.4
SD,12-26-2021,1248919,1220926,1149952,374454,56.8
AK,12-26-2021,1015239,989755,925618,205373,56.1
SC,12-26-2021,6678245,6589202,6260911,2142429,53.0
NV,12-26-2021,4265488,4210440,3965027,1091891,56.2
ND,12-26-2021,1006557,984498,935548,284924,52.4
NY,12-26-2021,33873764,33167845,31244132,7890760,71.5
CT,12-26-2021,6591741,6434350,6013173,1696748,74.5
UT,12-26-2021,4458522,4325037,3952099,897623,58.4
KS,12-26-2021,4006275,3920555,3674173,1139219,56.7
NC,12-26-2021,14812764,14499454,13673167,4077284,56.6
VT,12-26-2021,1243718,1200547,1133060,364333,77.3
MS,12-26-2021,3387636,3361759,3178549,1023904,48.1
ME,12-26-2021,2479870,2414477,2289623,770216,75.6
HI,12-26-2021,2221353,2168445,2037209,607751,63.4
VI,12-26-2021,128804,127699,121856,36756,50.4
VT,12-25-2021,1239416,1196670,1129550,363886,77.2
VA2,12-25-2021,6922650,6922460,6919411,3685211,0.0
AS,12-25-2021,75616,70965,59098,6320,68.7
MI,12-25-2021,13840590,13553590,12851780,4111015,56.6
NC,12-25-2021,14796536,14485142,13659659,4074729,56.6
UT,12-25-2021,4458514,4325029,3952093,897623,58.4
HI,12-25-2021,2219748,2166942,2035765,607535,63.4
MD,12-25-2021,10329815,10051611,9361249,2395905,70.2
WV,12-25-2021,2472374,2441538,2331408,824903,54.9
MN,12-25-2021,9042133,8761751,8223021,2410371,65.2
GU,12-25-2021,291354,286431,258658,41869,75.1
OR,12-25-2021,6781541,6614131,6234609,1825986,66.3
KY,12-25-2021,5849375,5746257,5446516,1680690,54.1
DE,12-25-2021,1570387,1541754,1452717,487336,64.0
SD,12-25-2021,1248781,1220808,1149843,374440,56.8
IH2,12-25-2021,2008618,1963603,1807623,369013,39.1
FL,12-25-2021,33285188,32874814,31218997,11115870,63.1
ND,12-25-2021,1006557,984498,935548,284924,52.4
NV,12-25-2021,4265488,4210440,3965027,1091891,56.2
KS,12-25-2021,4006275,3920555,3674173,1139219,56.7
ID,12-25-2021,2013749,0,2011929,660600,46.2
AZ,12-25-2021,10410686,10211779,9560524,3069602,56.8
VA,12-25-2021,14372940,13951052,13035857,3391629,67.8
MH,12-25-2021,47920,47748,44571,2637,29.4
MP,12-25-2021,94171,88139,78220,7803,75.7
RI,12-25-2021,1928335,1881580,1771759,504851,76.1
AR,12-25-2021,3776234,3711541,3485386,1101665,51.1
IL,12-25-2021,19565044,19035544,17823156,4817132,64.0
ME,12-25-2021,2479439,2414064,2289214,770139,75.6
CT,12-25-2021,6576745,6420170,5999932,1693903,74.4
IN,12-25-2021,8457375,8318355,7868500,2499532,51.9
BP2,12-25-2021,276158,276156,276156,8792,0.0
WA,12-25-2021,12457727,12146483,11404625,3020564,67.7
PA,12-25-2021,19880361,19454226,18423347,5872230,63.6
IA,12-25-2021,4556637,4462013,4219629,1403465,58.7
NJ,12-25-2021,14741911,14418557,13475993,3482026,70.2
US,12-25-2021,502564690,492030614,462225471,130879176,61.8
WI,12-25-2021,9013117,8811780,8333497,2696508,61.7
MT,12-25-2021,1433850,1406242,1336473,472503,53.9
VI,12-25-2021,128799,127694,121851,36755,50.4
RP,12-25-2021,36409,35498,32856,4201,75.8
PR,12-25-2021,5838007,5690359,5289363,1499726,76.7
NY,12-25-2021,33851458,33147004,31224494,7887630,71.5
TX,12-25-2021,40021367,39192412,36177025,8452518,56.6
TN,12-25-2021,8839291,8723382,8318966,2649183,51.2
WY,12-25-2021,679439,669914,637780,215895,47.3
AK,12-25-2021,1015239,989755,925618,205373,56.1
AL,12-25-2021,5584127,5534998,5271417,1735303,47.5
SC,12-25-2021,6666731,6578464,6250643,2140241,53.0
GA,12-25-2021,13076217,12892324,12140153,3250573,50.7
CO,12-25-2021,9429304,9170990,8607929,2113695,66.0
DD2,12-25-2021,6853742,6807599,6468890,537502,0.0
NM,12-25-2021,3416706,3339523,3125334,923285,66.0
MA,12-25-2021,12862614,12470691,11712936,3029255,74.4
DC,12-25-2021,1275417,1253005,1207366,235498,67.4
OH,12-25-2021,15681361,15369106,14586579,4744428,55.0
OK,12-25-2021,5241443,5168643,4876477,1471322,53.2
MO,12-25-2021,8045574,7894746,7474982,2376845,52.9
FM,12-25-2021,83463,83382,81101,6427,42.1
NE,12-25-2021,2816281,2749701,2579839,785338,59.5
LA,12-25-2021,5593832,5546341,5264992,1637635,50.1
CA,12-25-2021,65186189,63636850,59226888,14321004,65.9
NH,12-25-2021,2361572,2317279,2181887,663041,67.0
MS,12-25-2021,3387636,3361759,3178549,1023904,48.1
WA,12-24-2021,12457443,12146206,11404351,3020452,67.7
NJ,12-24-2021,14741868,14418514,13475950,3482001,70.2
FL,12-24-2021,33283808,32873454,31217639,11115283,63.1
OK,12-24-2021,5240611,5167855,4875746,1471153,53.2
KY,12-24-2021,5835486,5733601,5434480,1678251,54.0
RI,12-24-2021,1921526,1875227,1765849,503906,76.0
ID,12-24-2021,2013657,0,2011837,660545,46.2
RP,12-24-2021,36409,35498,32856,4201,75.8
AS,12-24-2021,75616,70965,59098,6320,68.7
NV,12-24-2021,4265311,4210263,3964850,1091814,56.2
CO,12-24-2021,9408371,9151928,8590012,2111322,65.9
VI,12-24-2021,128761,127656,121813,36748,50.4
AR,12-24-2021,3767314,3703846,3478052,1099910,51.0
IN,12-24-2021,8457105,8318085,7868230,2499375,51.9
ND,12-24-2021,1006485,984431,935483,284911,52.4
TN,12-24-2021,8838890,8722981,8318565,2649052,51.2
SD,12-24-2021,1248220,1220330,1149399,374362,56.8
MI,12-24-2021,13840132,13553132,12851322,4110784,56.6
ME,12-24-2021,2478899,2413566,2288724,770047,75.6
SC,12-24-2021,6646728,6560040,6232981,2135881,52.9
WY,12-24-2021,679402,669880,637747,215882,47.3
NE,12-24-2021,2816182,2749609,2579747,785314,59.5
CA,12-24-2021,64918233,63395346,59000708,14289040,65.8
DD2,12-24-2021,6853742,6807599,6468890,537502,0.0
NC,12-24-2021,14764211,14456256,13632376,4068458,56.5
FM,12-24-2021,83463,83382,81101,6427,42.1
IA,12-24-2021,4556500,4461876,4219492,1403402,58.7
BP2,12-24-2021,276157,276155,276155,8792,0.0
MP,12-24-2021,94171,88139,78220,7803,75.7
GU,12-24-2021,291354,286431,258658,41869,75.1
PA,12-24-2021,19878738,19452606,18421748,5871766,63.6
TX,12-24-2021,40020427,39191483,36176102,8452129,56.6
PR,12-24-2021,5837583,5689935,5288939,1499505,76.7
AL,12-24-2021,5581194,5532244,5268719,1734397,47.5
MT,12-24-2021,1433710,1406113,1336348,472458,53.9
KS,12-24-2021,4006142,3920435,3674053,1139174,56.7
OR,12-24-2021,6781455,6614051,6234530,1825937,66.3
WV,12-24-2021,2472231,2441395,2331265,824811,54.9
UT,12-24-2021,4458425,4324943,3952009,897592,58.4
MA,12-24-2021,12816974,12428928,11673311,3023322,74.3
AK,12-24-2021,1015205,989721,925584,205356,56.1
MS,12-24-2021,3387537,3361660,3178450,1023858,48.1
MN,12-24-2021,9041914,8761556,8222836,2410275,65.2
OH,12-24-2021,15680769,15368514,14585988,4744146,55.0
VA2,12-24-2021,6908910,6908720,6905682,3679141,0.0
GA,12-24-2021,13075794,12891901,12139730,3250425,50.6
LA,12-24-2021,5576665,5530308,5249700,1633842,50.1
DC,12-24-2021,1269709,1247595,1202229,234987,67.3
NH,12-24-2021,2360120,2315937,2180673,662849,67.0
WI,12-24-2021,9012765,8811429,8333147,2696347,61.7
IL,12-24-2021,19564625,19035125,17822737,4816915,64.0
MO,12-24-2021,8045332,7894504,7474740,2376723,52.9
CT,12-24-2021,6576155,6419590,5999370,1693786,74.4
MH,12-24-2021,47920,47748,44571,2637,29.4
AZ,12-24-2021,10379840,10184518,9534838,3063584,56.7
NY,12-24-2021,33731363,33037190,31121060,7871926,71.4
VA,12-24-2021,14348856,13928590,13014578,3388473,67.8
DE,12-24-2021,1570310,1541677,1452643,487310,64.0
VT,12-24-2021,1233902,1191914,1125206,363277,77.0
US,12-24-2021,501888667,491416797,461647364,130782337,61.7
HI,12-24-2021,2213986,2161749,2030828,606696,63.3
MD,12-24-2021,10307935,10031603,9342803,2393283,70.1
NM,12-24-2021,3404645,3328835,3115220,921238,66.0
IH2,12-24-2021,2005939,1961500,1805705,368748,39.1
BP2,12-23-2021,276131,276129,276129,8792,0.0
HI,12-23-2021,2202894,2152427,2022107,604877,63.2
LA,12-23-2021,5556360,5512042,5232309,1629447,50.0
WV,12-23-2021,2464854,2434634,2324835,822811,54.8
NM,12-23-2021,3403081,3327623,3114134,921029,65.9
MO,12-23-2021,8018325,7870654,7452000,2371809,52.8
IN,12-23-2021,8422387,8286591,7838563,2492828,51.8
FL,12-23-2021,33172989,32770605,31118764,11089466,63.0
DC,12-23-2021,1263514,1241895,1196797,234407,67.2
CO,12-23-2021,9374761,9122299,8562116,2107210,65.8
AL,12-23-2021,5549319,5502860,5240605,1727248,47.3
VI,12-23-2021,128330,127307,121482,36664,50.3
ID,12-23-2021,2007688,0,2005884,659209,46.1
RI,12-23-2021,1914375,1868500,1759504,502869,75.9
DD2,12-23-2021,6842545,6797792,6459846,536345,0.0
NC,12-23-2021,14704019,14402353,13581409,4057569,56.4
IH2,12-23-2021,1999307,1956235,1800891,367998,39.0
AR,12-23-2021,3754611,3692260,3466848,1097193,50.9
MA,12-23-2021,12760499,12377555,11623990,3016101,74.2
OH,12-23-2021,15679874,15367633,14585109,4743704,55.0
ND,12-23-2021,1002962,981454,932683,284433,52.3
OR,12-23-2021,6750694,6585836,6207587,1820552,66.2
KY,12-23-2021,5816551,5716553,5418254,1674537,54.0
UT,12-23-2021,4444635,4313504,3941239,895668,58.4
SD,12-23-2021,1243823,1216652,1145981,373574,56.7
WY,12-23-2021,677429,668121,636069,215507,47.3
CT,12-23-2021,6529401,6376831,5959150,1687646,74.3
VA2,12-23-2021,6890493,6890303,6887273,3670622,0.0
VA,12-23-2021,14232148,13822852,12915728,3372742,67.6
IL,12-23-2021,19467073,18946507,17739762,4802287,63.9
CA,12-23-2021,64690197,63193958,58812055,14258563,65.7
SC,12-23-2021,6623650,6538665,6212540,2130888,52.9
US,12-23-2021,500222330,489911859,460223551,130509675,61.7
TX,12-23-2021,40018615,39189812,36174477,8451539,56.6
ME,12-23-2021,2468056,2403635,2279255,768411,75.5
OK,12-23-2021,5237461,5164893,4872930,1470599,53.2
MS,12-23-2021,3387349,3361485,3178279,1023797,48.0
AS,12-23-2021,74926,70830,59014,6301,67.6
AK,12-23-2021,1015137,989664,925534,205343,56.1
MH,12-23-2021,47800,47663,44528,2636,29.4
MN,12-23-2021,9006530,8730290,8193365,2405833,65.1
AZ,12-23-2021,10336743,10146764,9499496,3054818,56.7
NV,12-23-2021,4248762,4195132,3950433,1088676,56.1
FM,12-23-2021,83463,83382,81101,6427,42.1
NH,12-23-2021,2353556,2309760,2174790,661768,66.9
VT,12-23-2021,1229068,1187720,1121325,362669,76.9
KS,12-23-2021,3991871,3907924,3662378,1136689,56.6
MP,12-23-2021,94171,88139,78220,7803,75.7
GA,12-23-2021,13075011,12891194,12139046,3250218,50.6
TN,12-23-2021,8809725,8695981,8292651,2642813,51.1
MD,12-23-2021,10270543,9997975,9311961,2388967,70.1
WA,12-23-2021,12402796,12096727,11357575,3012846,67.6
NY,12-23-2021,33578073,32897230,30987413,7849360,71.3
PR,12-23-2021,5837118,5689471,5288476,1499292,76.7
RP,12-23-2021,36232,35421,32779,4193,75.3
IA,12-23-2021,4556310,4461686,4219302,1403308,58.7
NE,12-23-2021,2815987,2749448,2579593,785271,59.5
PA,12-23-2021,19797910,19378270,18351132,5856294,63.5
WI,12-23-2021,8977213,8779075,8302267,2689398,61.7
DE,12-23-2021,1564474,1536425,1447679,486255,63.9
MI,12-23-2021,13791653,13509578,12810171,4101511,56.5
MT,12-23-2021,1429315,1402179,1332636,471527,53.8
GU,12-23-2021,291338,286418,258645,41869,75.1
NJ,12-23-2021,14685687,14367915,13427939,3474546,70.1
MT,12-22-2021,1424610,1397840,1328471,470629,53.7
FL,12-22-2021,33061992,32667759,31019993,11063690,63.0
AS,12-22-2021,74867,70800,58988,6296,67.5
LA,12-22-2021,5534200,5491903,5213175,1624671,50.0
MP,12-22-2021,93774,87899,77995,7789,75.4
ME,12-22-2021,2454936,2391684,2267795,766305,75.3
CT,12-22-2021,6502169,6351892,5935393,1683540,74.2
WV,12-22-2021,3116290,3090610,2972720,1148949,71.6
UT,12-22-2021,4428786,4300581,3929032,893670,58.3
MN,12-22-2021,8972235,8700062,8164873,2401434,65.0
FM,12-22-2021,83463,83382,81101,6427,42.1
SC,12-22-2021,6599572,6516490,6191302,2125645,52.8
WY,12-22-2021,675164,666067,634125,215034,47.2
TN,12-22-2021,8778993,8667792,8265636,2636004,51.1
IN,12-22-2021,8385156,8252916,7806650,2485307,51.8
VT,12-22-2021,1225534,1184586,1118386,362184,76.8
OK,12-22-2021,5218961,5148255,4857046,1466665,53.1
NY,12-22-2021,33416964,32749939,30845942,7825488,71.2
MS,12-22-2021,3387120,3361292,3178094,1023727,48.0
TX,12-22-2021,39870946,39060728,36053522,8429271,56.6
RP,12-22-2021,36041,35311,32669,4189,74.8
IL,12-22-2021,19471989,18957345,17751152,4801754,64.0
KY,12-22-2021,5794730,5697047,5399687,1670151,53.9
SD,12-22-2021,1239559,1212929,1142415,372817,56.6
ND,12-22-2021,999997,978859,930205,284024,52.2
VA,12-22-2021,14172501,13768904,12865230,3364197,67.6
GU,12-22-2021,290351,285603,257915,41748,75.0
AR,12-22-2021,3754371,3692027,3466617,1097080,50.9
MH,12-22-2021,47800,47663,44528,2636,29.4
NH,12-22-2021,2307814,2269643,2135783,653837,66.5
BP2,12-22-2021,276087,276085,276085,8792,0.0
VA2,12-22-2021,6871519,6871329,6868308,3662048,0.0
IA,12-22-2021,4535291,4442078,4200531,1399356,58.6
US,12-22-2021,499013558,488901420,459289707,130520463,61.7
NJ,12-22-2021,14625958,14314247,13376926,3466059,70.0
NC,12-22-2021,14635842,14340812,13523362,4045130,56.3
AL,12-22-2021,5531312,5486230,5224553,1722630,47.3
MO,12-22-2021,7991320,7845968,7428272,2366245,52.8
PR,12-22-2021,5815076,5670403,5270067,1494300,76.6
CO,12-22-2021,9337916,9089390,8530870,2102180,65.7
KS,12-22-2021,3975955,3893951,3649191,1133788,56.6
RI,12-22-2021,1907254,1861896,1753212,501744,75.9
DE,12-22-2021,1558776,1531274,1442793,485132,63.8
CA,12-22-2021,64422015,62955057,58587318,14221840,65.6
OH,12-22-2021,15616525,15310497,14530807,4730994,54.9
MA,12-22-2021,12701933,12324851,11573091,3008541,74.1
WA,12-22-2021,12354966,12053162,11315893,3005490,67.5
HI,12-22-2021,2193910,2144506,2014640,603386,63.1
PA,12-22-2021,19708270,19295790,18272391,5840111,63.4
GA,12-22-2021,13074414,12890647,12138512,3250067,50.6
MI,12-22-2021,13740805,13464331,12767446,4091778,56.4
VI,12-22-2021,128041,127029,121214,36583,50.3
AK,12-22-2021,1012780,987706,923717,205060,56.0
AZ,12-22-2021,10302180,10116515,9471513,3047373,56.6
OR,12-22-2021,6721163,6559560,6182666,1815589,66.1
NE,12-22-2021,2806615,2741610,2572169,783592,59.4
DC,12-22-2021,1258257,1236937,1192093,233814,67.0
NV,12-22-2021,4234393,4182106,3938083,1085954,56.1
IH2,12-22-2021,1993719,1951747,1796762,367230,39.0
MD,12-22-2021,10229262,9961324,9277613,2383774,70.0
ID,12-22-2021,2001713,0,1999921,657752,46.1
WI,12-22-2021,8940641,8745566,8270107,2682337,61.6
DD2,12-22-2021,6831984,6788577,6451385,535299,0.0
NM,12-22-2021,3384174,3311236,3098879,917721,65.8
AK,12-21-2021,1010674,985872,922033,204761,56.0
MO,12-21-2021,7967863,7824696,7407876,2361865,52.7
AZ,12-21-2021,10275713,10093667,9450112,3041607,56.5
NE,12-21-2021,2799660,2735463,2566386,782472,59.4
NH,12-21-2021,2297617,2260333,2126706,651809,66.4
NY,12-21-2021,33286345,32629870,30730454,7805726,71.1
TX,12-21-2021,39726293,38935055,35936315,8407455,56.5
UT,12-21-2021,4398450,4276190,3905917,890078,58.0
PA,12-21-2021,19623961,19221785,18201854,5826086,63.3
VT,12-21-2021,1223032,1182529,1116473,361968,76.7
NC,12-21-2021,14563870,14275373,13461296,4031376,56.2
NJ,12-21-2021,14600807,14294770,13358092,3467954,70.0
ME,12-21-2021,2446530,2383789,2260257,765076,75.3
IH2,12-21-2021,1988207,1947388,1792692,366490,38.9
KY,12-21-2021,5778638,5682963,5386346,1667123,53.8
WV,12-21-2021,3115953,3090273,2972383,1148827,71.6
PR,12-21-2021,5796995,5654936,5255042,1490256,76.5
DC,12-21-2021,1254265,1233341,1188636,233452,66.9
