State,Date,Confirmed,Deaths,Case_Fatality_Ratio
California,2021-01-02 05:30:44,2435655.0,26169.0,1.0743439616803088
Idaho,2021-01-02 05:30:44,141077.0,1436.0,1.0178838506631132
Massachusetts,2020-07-02 04:33:59,108882.0,8053.0,7.3960801601733985
Massachusetts,2020-09-02 04:30:23,128888.0,8338.0,7.032462292843398
Maine,2021-12-02 04:33:13,120600.0,1327.0,1.1003316749585406
Virginia,2022-02-02 04:32:38,1551705.0,16252.0,1.0473640286007972
West Virginia,2022-02-02 04:32:38,448922.0,5778.0,1.2870832795006706
California,2021-03-02 08:30:59,3630930.0,52104.0,1.4348579186367683
