MA,04-10-2022,14559203,13987123,13044329,3255085,78.4
CA,04-09-2022,73249492,70536874,65272868,15083877,71.3
MN,03-07-2022,9939576,9530219,8884528,2497036,68.4
CA,02-27-2022,71526243,68998595,63875445,14686659,70.4
ID,02-20-2022,2353837,2295975,2161017,683869,52.9
DC,02-20-2022,1408644,1374969,1317669,247687,71.2
VA,02-17-2022,15781611,15191419,14109826,3541991,71.7
CA,02-21-2021,7453468,0,7449941,0,0.0
CA,03-25-2021,16062266,0,16016524,7199280,13.9

